,index,tau,tau_hat
0,0,-56.5048325426426,-54.0174069688027
1,1,-55.582684334216204,-53.384306554590594
2,2,-55.556393592502296,-56.3716607940718
3,3,-55.4654947756742,-56.4573452483951
4,4,-54.9846140212548,-52.369138876485394
5,5,-54.9493020013872,-55.5756889147737
6,6,-54.8251629716817,-52.5254097812799
7,7,-54.387793923915396,-56.017076051112205
8,8,-54.1896676810347,-49.578954553032105
9,9,-53.6630634252211,-56.0943432586613
10,10,-52.4025296688745,-54.857751375869
11,11,-52.2547641644831,-47.618995987602794
12,12,-51.6382532830157,-50.5151047807007
13,13,-51.355130965459004,-56.7885736682327
14,14,-51.352381382225,-52.6594539486296
15,15,-51.148851680501096,-49.4099468995193
16,16,-51.102397337064296,-53.071092606233904
17,17,-51.0954392958945,-49.25842885221971
18,18,-51.07169979544379,-53.8179486673744
19,19,-51.0309391478987,-47.1358715695102
20,20,-51.01455920584971,-47.9854308249369
21,21,-50.7747828778217,-45.3882389133374
22,22,-50.458000992295105,-55.8503775948065
23,23,-50.3374935944401,-44.7755889301809
24,24,-50.2893537262768,-52.91243531429
25,25,-49.87684331428701,-47.4908265203445
26,26,-49.612775209270204,-54.027717512075796
27,27,-49.5855210347175,-44.7347410164587
28,28,-49.5506101301746,-48.2917285383189
29,29,-49.52331828690121,-53.429282165694296
30,30,-49.379694583665,-48.969942581054
31,31,-49.3030378394318,-50.4606901856149
32,32,-49.3008770611995,-49.5358630516061
33,33,-49.2307620837584,-45.807170622453
34,34,-49.215942039213495,-41.277545517987
35,35,-49.028674077216394,-44.215534977648105
36,36,-48.9642238254136,-42.0122906418918
37,37,-48.9231734783741,-52.560019214172705
38,38,-48.80522320683821,-44.5755493723396
39,39,-48.7445326333254,-52.1107543463214
40,40,-48.4301992509115,-46.999895851919405
41,41,-48.4014099905231,-55.34717178787311
42,42,-48.2671467075345,-49.6204066424883
43,43,-48.19919732708771,-44.04705781680389
44,44,-48.1269717619194,-41.4973601318116
45,45,-47.92731631719979,-47.9699622698844
46,46,-47.862319501388505,-50.784940583348295
47,47,-47.685194704187296,-49.18509765980411
48,48,-47.4111395434293,-43.9395340036424
49,49,-47.2673423576042,-41.2355522338066
50,50,-47.1146178716612,-52.0125287194907
51,51,-46.903600319734494,-45.0254200767735
52,52,-46.738736207829106,-39.2470081233007
53,53,-46.655055153300296,-40.271038401995504
54,54,-46.6108066097219,-49.7242793029492
55,55,-46.4986606100546,-45.710671787860406
56,56,-46.3545239216796,-45.17434385069671
57,57,-46.187594451032105,-48.597662017714605
58,58,-46.119923163513,-50.52233812741979
59,59,-45.950519399121504,-41.095328344480706
60,60,-45.8891417910702,-51.908678023050605
61,61,-45.738657302806395,-47.403909824684106
62,62,-45.65978588714,-39.1915326192968
63,63,-45.647986175778506,-44.9531889429529
64,64,-45.628529090659704,-38.9031512169909
65,65,-45.622045027129005,-45.123089508698904
66,66,-45.567719178134396,-43.818150687835704
67,67,-45.55370338982429,-41.4261952338653
68,68,-45.5239175559177,-45.92364335224689
69,69,-45.2333076156254,-41.1501085965796
70,70,-45.127996444080495,-42.96501277636379
71,71,-45.0741544645371,-38.652234892687105
72,72,-44.9549625096696,-43.561176044940794
73,73,-44.8710926308115,-39.906078415570995
74,74,-44.8128008065322,-41.4224035826675
75,75,-44.6941861750745,-40.6315440272044
76,76,-44.6694548090049,-46.524048845405595
77,77,-44.388757774324596,-41.37945779702861
78,78,-44.36776771749061,-40.189498306992
79,79,-44.36188983343579,-40.757480020911395
80,80,-44.234817095291994,-38.4473048571485
81,81,-44.2016396707434,-39.6082800490132
82,82,-43.961669926476404,-44.0429101652781
83,83,-43.9448517138793,-38.6425872012451
84,84,-43.9280098979202,-43.5304403427364
85,85,-43.812162638455,-38.5983555590294
86,86,-43.7159189387799,-42.2681924433141
87,87,-43.507581421458795,-38.5764555653194
88,88,-43.4777980172719,-43.3961632299736
89,89,-43.42661312766379,-37.7509357136177
90,90,-43.415501140444796,-47.110451885123794
91,91,-43.413014711596496,-42.202043012027396
92,92,-43.22510714691651,-40.2678265465666
93,93,-42.7592230214371,-42.398552135500005
94,94,-42.7395061744024,-39.7849328794779
95,95,-42.6813097209879,-43.3033409648569
96,96,-42.540371879674396,-39.821059174602105
97,97,-42.432345161578205,-34.508381091210296
98,98,-42.347137760411,-38.0908931853394
99,99,-42.3314607170748,-38.7594069814728
100,100,-42.3236295732327,-37.0738179053581
101,101,-42.278274315907396,-38.2538166105125
102,102,-42.1646637634058,-50.797772364615405
103,103,-42.0932120545065,-38.083285054980294
104,104,-42.079646842604205,-32.4503651858099
105,105,-42.0377742403791,-43.2386980741405
106,106,-41.909455260906796,-38.5508480038467
107,107,-41.843862808476,-48.3883012868932
108,108,-41.7992186821616,-49.5401755203146
109,109,-41.7854468851844,-38.392608918566
